Australia,Q408
Algeria,Q262
Angola,Q916
Afghanistan,Q889
Azerbaijan,Q227
Antigua_and_Barbuda,Q781
Belgium,Q31
The_Bahamas,Q778
Bangladesh,Q902
Barbados,Q244
Belarus,Q184
Belize,Q242
Benin,Q962
Bosnia_and_Herzegovina,Q225
Botswana,Q963
Brunei,Q921
Burkina_Faso,Q965
Czech_Republic,Q213
Comoros,Q970
Cameroon,Q1009
Central_African_Republic,Q929
Chad,Q657
Costa_Rica,Q800
Cyprus,Q229
Dominican_Republic,Q786
El_Salvador,Q792
Equatorial_Guinea,Q983
Germany,Q183
Gabon,Q1000
Ghana,Q117
Greece,Q41
Greenland,Q223
Guinea,Q1006
Guinea-Bissau,Q1007
Hungary,Q28
Haiti,Q790
Honduras,Q783
Iceland,Q189
Italy,Q38
India,Q668
Republic_of_Ireland,Q27
Iran,Q794
Jamaica,Q766
Kazakhstan,Q232
Kosovo,Q1246
Latvia,Q211
Luxembourg,Q32
Libya,Q1016
Lithuania,Q37
Laos,Q819
Lebanon,Q822
Lesotho,Q1013
Liberia,Q1014
Liechtenstein,Q347
Madagascar,Q1019
Malawi,Q1020
Maldives,Q826
Mali,Q912
Malta,Q233
Mauritius,Q1027
Mayotte,Q17063
Moldova,Q217
Monaco,Q235
Mongolia,Q711
Morocco,Q1028
Mozambique,Q1029
Myanmar,Q836
Netherlands,Q55
Norway,Q20
Namibia,Q1030
Nicaragua,Q811
Niger,Q1032
Nigeria,Q1033
Oman,Q842
Poland,Q36
Panama,Q804
Portugal,Q45
Pakistan,Q843
Philippines,Q928
Russia,Q159
Rwanda,Q1037
Spain,Q29
Switzerland,Q39
Sri_Lanka,Q854
Slovakia,Q214
Saint_Kitts_and_Nevis,Q763
Saint_Lucia,Q760
Saint_Vincent_and_the_Grenadines,Q757
San_Marino,Q238
Senegal,Q1041
Seychelles,Q1042
Sierra_Leone,Q1044
Singapore,Q334
Slovenia,Q215
Somalia,Q1045
Sudan,Q1049
Swaziland,Q1050
Tajikistan,Q863
Tanzania,Q924
Thailand,Q869
Togo,Q945
Tunisia,Q948
United_Kingdom,Q145
Ukraine,Q212
Uganda,Q1036
Uzbekistan,Q265
Vatican_City,Q237
Zimbabwe,Q954
Zambia,Q953
Georgia_(country),Q230
Somaliland,Q34754
Ivory_Coast,Q1008
The_Gambia,Q1005
United_Arab_Emirates,Q878
Democratic_Republic_of_the_Congo,Q974
Réunion,Q17070
Kyrgyzstan,Q813
Nepal,Q837
Ethiopia,Q115
Kenya,Q114
Turkmenistan,Q874
Vietnam,Q881
State_of_Palestine,Q219060
Cambodia,Q424
Saudi_Arabia,Q851
Yemen,Q805
Bhutan,Q917
United_States,Q30
Malaysia,Q833
Mexico,Q96
Cuba,Q241
Canada,Q16
France,Q142
Syria,Q858
Kuwait,Q817
Iraq,Q796
Jordan,Q810
Egypt,Q79
Qatar,Q846
Israel,Q801
Armenia,Q399
Turkey,Q43
Dominica,Q784
Djibouti,Q977
Guatemala,Q774
Eritrea,Q986
Grenada,Q769
South_Africa,Q258
Mauritania,Q1025
Bahrain,Q398
Cape_Verde,Q1011
East_Timor,Q574
Republic_of_the_Congo,Q971
São_Tomé_and_Príncipe,Q1039
Burundi,Q967
Austria,Q40
Estonia,Q191
South_Sudan,Q958
Sahrawi_Arab_Democratic_Republic,Q40362
Cayman Islands,Q5785
Brazil,Q155
